title,genre,release_year,rating,rental_price,purchase_price
Expedition 33,Role-playing,2025,M,14.99,69.99
League of Legends,Online Battle Arena,2009,T,0.99,0.99
Genshin Impact,Role-playing,2020,T,9.99,19.99
Honkai Star Rail,Role-playing,2023,T,9.99,19.99
Persona 5 Royal,Role-playing,2016,M,34.99,64.99
Animal Crossing,Social Stimulation,2020,E,19.99,74.99
Baldurs Gate 3,Role-playing	2023,M,19.99,69.99
Monster Hunter: Worlds,Action,2018,T,4.99,49.99
Warhammer 40K: Rogue Trader,Role-playing,2024,M,12.99,59.99
Mass Effect Trilogy,Role-playing,2021,M,0.99,9.99
